,Mean Accuracy,Mean Accuracy,Mean Accuracy,Mean Test Time (s),Mean Test Time (s),Mean Test Time (s),Mean Training Time (s),Mean Training Time (s),Mean Training Time (s)
Method,Active Learning,DBSCAN,Random Sampling,Active Learning,DBSCAN,Random Sampling,Active Learning,DBSCAN,Random Sampling
M,,,,,,,,,
100,0.2982857142857142,0.6467714285714286,0.6390357142857143,0.1894659280776977,0.2311462640762329,0.1705899953842163,351.508975815773,43.599392127990725,0.0012883186340332
500,0.4334285714285714,0.7963785714285714,0.7916714285714286,0.2430474758148193,0.2704169034957885,0.25265634059906,329.9556708574295,43.490987515449525,0.0020038843154907
1000,0.5120714285714286,0.8358500000000001,0.8326357142857143,0.3197904348373413,0.3072132110595703,0.3254530191421508,315.7472010612488,36.37760603427887,0.0028911590576171
5000,0.7227142857142858,0.892657142857143,0.8918857142857144,0.9613285541534424,0.984806752204895,1.1075733423233032,304.18670642375946,37.13172693252564,0.0105481386184692
10000,0.8437142857142857,0.9100571428571428,0.9129571428571428,1.7410974025726318,1.790079927444458,2.0570252656936647,295.461141204834,36.16798679828644,0.0303674936294555
